K,G,S,CV,NPfix
10.0,0.25,0.0,0.0,1.6819269234338
10.0,0.25,0.0,0.01,1.683836847646748
10.0,0.25,0.0,0.1,1.6976875079433285
10.0,0.25,0.0,0.5,1.9668514995750193
10.0,0.25,0.0,1.0,1.981443440707163
10.0,0.25,0.01,0.0,1.6622386913246225
10.0,0.25,0.01,0.01,1.659352668849709
10.0,0.25,0.01,0.1,1.6756740402477717
10.0,0.25,0.01,0.5,1.9651231032626513
10.0,0.25,0.01,1.0,1.9811836164417906
10.0,0.25,0.1,0.0,1.418631672476249
10.0,0.25,0.1,0.01,1.4211728283376555
10.0,0.25,0.1,0.1,1.4504690563571465
10.0,0.25,0.1,0.5,1.9505006237545162
10.0,0.25,0.1,1.0,1.9763684786323403
10.0,0.25,0.5,0.0,0.5605288158644759
10.0,0.25,0.5,0.01,0.5651249537486125
10.0,0.25,0.5,0.1,0.5736532407425927
10.0,0.25,0.5,0.5,1.6517361861901307
10.0,0.25,0.5,1.0,1.9291693261602991
10.0,0.25,1.0,0.0,0.413036
10.0,0.25,1.0,0.01,0.414908
10.0,0.25,1.0,0.1,0.415412
10.0,0.25,1.0,0.5,0.6412942989214175
10.0,0.25,1.0,1.0,1.6717040484172379
10.0,0.3,0.0,0.0,1.6107816014372236
10.0,0.3,0.0,0.01,1.6101095000434604
10.0,0.3,0.0,0.1,1.6275818278147838
10.0,0.3,0.0,0.5,1.9436327211747568
10.0,0.3,0.0,1.0,1.9671646049440583
10.0,0.3,0.01,0.0,1.5889803801150688
10.0,0.3,0.01,0.01,1.589113370742487
10.0,0.3,0.01,0.1,1.6049356266548094
10.0,0.3,0.01,0.5,1.9415983334795552
10.0,0.3,0.01,1.0,1.965926324543809
10.0,0.3,0.1,0.0,1.3579984672294871
10.0,0.3,0.1,0.01,1.360443786506187
10.0,0.3,0.1,0.1,1.390002838844248
10.0,0.3,0.1,0.5,1.920717604395694
10.0,0.3,0.1,1.0,1.9599939650462
10.0,0.3,0.5,0.0,0.6263185474677089
10.0,0.3,0.5,0.01,0.6283461606157096
10.0,0.3,0.5,0.1,0.6354755866328514
10.0,0.3,0.5,0.5,1.5835714647359627
10.0,0.3,0.5,1.0,1.8963047018821406
10.0,0.3,1.0,0.0,0.493004
10.0,0.3,1.0,0.01,0.494632
10.0,0.3,1.0,0.1,0.495284
10.0,0.3,1.0,0.5,0.6927441158636037
10.0,0.3,1.0,1.0,1.6088652864383726
10.0,0.35,0.0,0.0,1.545301401925927
10.0,0.35,0.0,0.01,1.5469475628502511
10.0,0.35,0.0,0.1,1.5618477525198282
10.0,0.35,0.0,0.5,1.914946563501677
10.0,0.35,0.0,1.0,1.947332632750201
10.0,0.35,0.01,0.0,1.524366479623945
